分类: 📡卫视频道, 名称: 广东卫视, 有效: 2, IPv4: 33, IPv6: 0, 最小延迟: 241 ms, 最高速率: 33.90 M/s, 平均速率: 23.74 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 4, IPv4: 32, IPv6: 0, 最小延迟: 216 ms, 最高速率: 18.30 M/s, 平均速率: 7.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.27, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 3, IPv4: 38, IPv6: 0, 最小延迟: 10 ms, 最高速率: 14.36 M/s, 平均速率: 10.56 M/s, 最高分辨率: 3840x2160, 平均帧率: 27.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 北京卫视, 有效: 3, IPv4: 33, IPv6: 0, 最小延迟: 10 ms, 最高速率: 17.93 M/s, 平均速率: 7.73 M/s, 最高分辨率: 3840x2160, 平均帧率: 29.29, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 1, IPv4: 31, IPv6: 0, 最小延迟: 198 ms, 最高速率: 16.50 M/s, 平均速率: 16.50 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 1, IPv4: 25, IPv6: 0, 最小延迟: 216 ms, 最高速率: 15.34 M/s, 平均速率: 15.34 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 3, IPv4: 29, IPv6: 0, 最小延迟: 48 ms, 最高速率: 21.15 M/s, 平均速率: 19.78 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 东方卫视, 有效: 5, IPv4: 32, IPv6: 0, 最小延迟: 268 ms, 最高速率: 12.01 M/s, 平均速率: 5.53 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 2, IPv4: 31, IPv6: 0, 最小延迟: 771 ms, 最高速率: 4.10 M/s, 平均速率: 3.14 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 东南卫视, 有效: 2, IPv4: 21, IPv6: 0, 最小延迟: 709 ms, 最高速率: 4.49 M/s, 平均速率: 3.08 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: mp2
